법정동코드,법정동명,폐지여부
2771038027,대구광역시 달성군 구지면 유산리,존재
2771038028,대구광역시 달성군 구지면 목단리,존재
2771038029,대구광역시 달성군 구지면 대암리,존재
2771038030,대구광역시 달성군 구지면 내리,존재
2771038031,대구광역시 달성군 구지면 화산리,존재
2771038032,대구광역시 달성군 구지면 수리리,존재
2771038033,대구광역시 달성군 구지면 징리,존재
2771038034,대구광역시 달성군 구지면 오설리,존재
2771038035,대구광역시 달성군 구지면 도동리,존재
2772000000,대구광역시 군위군,존재
2772025000,대구광역시 군위군 군위읍,존재
2772025021,대구광역시 군위군 군위읍 동부리,존재
2772025022,대구광역시 군위군 군위읍 서부리,존재
2772025023,대구광역시 군위군 군위읍 금구리,존재
2772025024,대구광역시 군위군 군위읍 무성리,존재
2772025025,대구광역시 군위군 군위읍 수서리,존재
2772025026,대구광역시 군위군 군위읍 사직리,존재
2772025027,대구광역시 군위군 군위읍 내량리,존재
2772025028,대구광역시 군위군 군위읍 외량리,존재
2772025029,대구광역시 군위군 군위읍 삽령리,존재
2772025030,대구광역시 군위군 군위읍 대북리,존재
2772025031,대구광역시 군위군 군위읍 오곡리,존재
2772025032,대구광역시 군위군 군위읍 정리,존재
2772025033,대구광역시 군위군 군위읍 하곡리,존재
2772025034,대구광역시 군위군 군위읍 용대리,존재
2772025035,대구광역시 군위군 군위읍 상곡리,존재
2772025036,대구광역시 군위군 군위읍 광현리,존재
2772025037,대구광역시 군위군 군위읍 대흥리,존재
2772031000,대구광역시 군위군 소보면,존재
2772031021,대구광역시 군위군 소보면 사리리,존재
2772031022,대구광역시 군위군 소보면 보현리,존재
2772031023,대구광역시 군위군 소보면 복성리,존재
2772031024,대구광역시 군위군 소보면 위성리,존재
2772031025,대구광역시 군위군 소보면 달산리,존재
2772031026,대구광역시 군위군 소보면 송원리,존재
2772031027,대구광역시 군위군 소보면 신계리,존재
2772031028,대구광역시 군위군 소보면 도산리,존재
2772031029,대구광역시 군위군 소보면 서경리,존재
2772031030,대구광역시 군위군 소보면 평호리,존재
2772031031,대구광역시 군위군 소보면 산법리,존재
2772031032,대구광역시 군위군 소보면 내의리,존재
2772031033,대구광역시 군위군 소보면 봉황리,존재
2772031034,대구광역시 군위군 소보면 봉소리,존재
2772032000,대구광역시 군위군 효령면,존재
2772032021,대구광역시 군위군 효령면 노행리,존재
2772032022,대구광역시 군위군 효령면 오천리,존재
2772032023,대구광역시 군위군 효령면 성리,존재
2772032024,대구광역시 군위군 효령면 병수리,존재
2772032025,대구광역시 군위군 효령면 불로리,존재
2772032026,대구광역시 군위군 효령면 내리리,존재
2772032027,대구광역시 군위군 효령면 중구리,존재
2772032028,대구광역시 군위군 효령면 거매리,존재
2772032029,대구광역시 군위군 효령면 장군리,존재
2772032030,대구광역시 군위군 효령면 장기리,존재
2772032031,대구광역시 군위군 효령면 금매리,존재
