sido,kaptCode,kaptName,addr_jibun,bjdCode,office
대구광역시,A10022020,태왕아너스리버파크1차,대구광역시 동구 지저동,2714010800,동대구지사
대구광역시,A70111001,부민스위트빌,대구광역시 동구 지저동,2714010800,동대구지사
대구광역시,A70177402,제림햇빛촌아파트,대구광역시 동구 지저동,2714010800,동대구지사
대구광역시,A70105001,동촌화성타운,대구광역시 동구 입석동,2714010900,동대구지사
대구광역시,A10026578,동촌역태왕아너스르네상스,대구광역시 동구 검사동,2714011000,동대구지사
대구광역시,A70104001,금사리하이빌,대구광역시 동구 검사동,2714011000,동대구지사
대구광역시,A10024235,방촌역세영리첼더퍼스트,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A10024344,방촌역태왕아너스,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70175109,우방강촌마을,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70175301,방촌청구제네스,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70175302,경북금성,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70175405,보성강남타운,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70180108,영남네오빌,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70180403,방촌2차영남네오빌,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70180404,방촌현대맨션,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70180406,우방강촌2차아파트,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70180407,강변1차타운,대구광역시 동구 방촌동,2714011100,동대구지사
대구광역시,A70123001,상록아이투빌아파트,대구광역시 동구 동호동,2714011600,동대구지사
대구광역시,A70123002,상록아파트,대구광역시 동구 동호동,2714011600,동대구지사
대구광역시,A10020599,신기역극동스타클래스,대구광역시 동구 신기동,2714011700,동대구지사
대구광역시,A70175502,모란1차아파트,대구광역시 동구 신기동,2714011700,동대구지사
대구광역시,A70175603,모란2차아파트,대구광역시 동구 신기동,2714011700,동대구지사
대구광역시,A70175605,모란3차아파트,대구광역시 동구 신기동,2714011700,동대구지사
